location,latitude,longitude,gvi_depan,gvi_kiri,gvi_kanan,gvi_average
titik001,-3.9762586411808236,122.5237165008078,0.1396955966,0.1254865179,0.25565737,0.1736131615
titik002,-3.97606023553585,122.52329879600502,0.158798888,0.02887916837,0.06663482812,0.0847709615
titik003,-3.9758642365885,122.52289445299735,0.1393955007,0.03864766393,0.4253955295,0.2011462314
titik004,-3.9756682375931875,122.5224867572243,0.3614504106,0.01667463861,0.4243818959,0.267502315
titik005,-3.9754428826892894,122.52202833081967,0.4693012284,0.2826300804,0.5658190166,0.4392501085
titik006,-3.975227314782653,122.52159029085752,0.4504896673,0.5746737738,0.3431396382,0.4561010264
titik007,-3.975063499199216,122.5212061859529,0.45037911,0.4286354009,0.5093018255,0.4627721121
titik008,-3.9749309205904315,122.52084170665644,0.3468656994,0.7508678915,0.4758196826,0.5245177578
titik009,-3.9747436980887727,122.5204300347924,0.3071962002,0.4428496466,0.04213423892,0.2640600286
titik010,-3.974545357369696,122.52002673735605,0.4338348765,0.1135368933,0.1778405855,0.2417374518
titik011,-3.9743547095786806,122.5196190415841,0.3210088144,0.7772716581,0.2473914865,0.4485573197
titik012,-3.974182792060114,122.51920531083611,0.3200472608,0.4840378329,0.2482784057,0.3507878331
titik013,-3.9737948068716062,122.51839327204719,0.272416977,0.4817868264,0.1569801869,0.3037279968
titik014,-3.9739887994867815,122.51880029729008,0.4252022182,0.1210233804,0.09775434093,0.2146599799
titik015,-3.9736060994893574,122.51796817269083,0.4267008115,0.3430426955,0.7315169123,0.5004201398
titik016,-3.973419801151143,122.51755590235804,0.4109255585,0.3654257179,0.3382950451,0.3715487738
titik017,-3.97323383568875,122.51714954772363,0.2711437633,0.7188700712,0.2110366571,0.4003501639
titik018,-3.973047090464868,122.51673939772837,0.3464964641,0.09847083123,0.3230826667,0.256016654
titik019,-3.9728565182148383,122.51633359572057,0.2752626803,0.04453615455,0.3860330156,0.2352772835
titik020,-3.9726633939050595,122.51592377100913,0.1036732594,0.3857952517,0.09628838997,0.1952523004
titik021,-3.9724881313281797,122.5154966292192,0.5423405908,0.09882579575,0.4563206648,0.3658290171
titik022,-3.972298292419317,122.5150665010578,0.4804361077,0.03134177571,0.4699508758,0.3272429197
titik023,-3.9721088376512967,122.51463538349701,0.4888432225,0.3195851016,0.5070475383,0.4384919541
titik024,-3.9719123684078963,122.51422629027593,0.345656376,0.04689320751,0.3390964217,0.2438820017
titik025,-3.97171703196828,122.51381979094828,0.1425438424,0.05235529783,0.3408103886,0.1785698429
titik026,-3.9715491111343186,122.51343733806371,0.4473013839,0.2217201213,0.4509273038,0.3733162697
titik027,-3.9713537746105323,122.51300679229954,0.4748044907,0.3792959892,0.3564963263,0.4035322687
titik028,-3.971374336351871,122.51266212667478,0.261604584,0.0,0.3891387911,0.2169144584
titik029,-3.971782144115149,122.51246861009463,0.102997367,0.0,0.2108187411,0.1046053693
titik030,-3.972189692643488,122.51227086673312,0.1515791164,0.01010951738,0.2298302568,0.1305062968
titik031,-3.9723895922295243,122.51266845461308,0.2028213774,0.1537433502,0.3942252489,0.2502633255
titik032,-3.9725765687016525,122.5130759041265,0.2118308164,0.1941432823,0.453710593,0.2865615639
titik033,-3.9727693084088607,122.5134743115761,0.1024833738,0.04210331895,0.4411569219,0.1952478715
titik034,-3.972979047135139,122.51389316967335,0.2219592795,0.07348011543,0.2486040906,0.1813478285
titik035,-3.9731757787551545,122.51429247019168,0.1581079046,0.0005376137724,0.2720332249,0.1435595811
